 TYPE	 PROD	ASSET	                  VE	               VEwUI
    0	    0	    0	   0.000000000000000	   0.000000000000000
    1	    0	    0	   0.000000000000000	   0.000000000000000
    0	    0	    1	   0.000000118867369	   0.000000836251936
    1	    0	    1	   0.000000284173082	   0.000003617582404
    0	    0	    2	   0.000000079680638	   0.000000652200810
    1	    0	    2	   0.000000130036847	   0.000002821386803
    0	    0	    3	   0.000000116394249	   0.000000920464441
    1	    0	    3	   0.000000233562343	   0.000003981881324
    0	    0	    4	   0.000000098838226	   0.000000492471635
    1	    0	    4	   0.000000223051564	   0.000002130406693
    0	    0	    5	   0.000000121638110	   0.000000644953407
    1	    0	    5	   0.000000275568118	   0.000002790034911
    0	    0	    6	   0.000000131430268	   0.000000694711876
    1	    0	    6	   0.000000266405439	   0.000003005287463
    0	    0	    7	   0.000000167972686	   0.000000435434403
    1	    0	    7	   0.000000239403127	   0.000001883666591
    0	    0	    8	   0.000000204079835	   0.000000455555688
    1	    0	    8	   0.000000343220910	   0.000001970710226
    0	    0	    9	   0.000000247721979	   0.000000550537445
    1	    0	    9	   0.000000361190279	   0.000002381596369
    0	    0	   10	   0.000000301700643	   0.000000578297216
    1	    0	   10	   0.000000513134017	   0.000002501683695
    0	    0	   11	   0.000000289106020	   0.000000395946860
    1	    0	   11	   0.000000439531226	   0.000001712845533
    0	    0	   12	   0.000000307547215	   0.000000399956154
    1	    0	   12	   0.000000462479944	   0.000001730189531
    0	    0	   13	   0.000000414987312	   0.000000455350639
    1	    0	   13	   0.000000540789543	   0.000001969823195
    0	    0	   14	   0.000000449889088	   0.000000440220331
    1	    0	   14	   0.000000627363223	   0.000001904370268
    0	    0	   15	   0.000001016378061	   0.000000453961150
    1	    0	   15	   0.000000735688835	   0.000001963812338
    0	    0	   16	   0.000001175355261	   0.000000408913770
    1	    0	   16	   0.000000702860481	   0.000001768939715
    0	    0	   17	   0.000001540564086	   0.000000386465985
    1	    0	   17	   0.000001569362300	   0.000001671831762
    0	    0	   18	   0.000002191364045	   0.000000388282564
    1	    0	   18	   0.000003574729123	   0.000001679690191
    0	    0	   19	   0.000002316379107	   0.000000371197935
    1	    0	   19	   0.000003409466207	   0.000001605782970
    0	    0	   20	   0.000002265898424	   0.000000366513970
    1	    0	   20	   0.000002355451846	   0.000001585520382
    0	    0	   21	   0.000002353150063	   0.000000356454242
    1	    0	   21	   0.000011928992857	   0.000001542002520
    0	    0	   22	   0.000003549513234	   0.000000327020070
    1	    0	   22	   0.000040625127658	   0.000001414671824
    0	    0	   23	   0.000003678709199	   0.000000320767385
    1	    0	   23	   0.000041342217842	   0.000001387623034
    0	    0	   24	   0.000010916452892	   0.000000419969632
    1	    0	   24	   0.000080608526048	   0.000001816766798
    0	    0	   25	   0.000012918707389	   0.000000581126427
    1	    0	   25	   0.000083181991756	   0.000002513922716
    0	    0	   26	   0.000016086023342	   0.000000688004502
    1	    0	   26	   0.000128414290425	   0.000002976271712
    0	    0	   27	   0.000018179233772	   0.000000816047475
    1	    0	   27	   0.000129965585799	   0.000003530178960
    0	    0	   28	   0.000019758483238	   0.000000912215172
    1	    0	   28	   0.000137077171989	   0.000003946195417
    0	    0	   29	   0.000021548916462	   0.000000996285451
    1	    0	   29	   0.000151878299151	   0.000004309879072
    0	    0	   30	   0.000022510240518	   0.000001051768928
    1	    0	   30	   0.000163041259525	   0.000004549897709
    0	    0	   31	   0.000023539051699	   0.000001096051303
    1	    0	   31	   0.000171495097119	   0.000004741460962
    0	    0	   32	   0.000023482454987	   0.000001072466353
    1	    0	   32	   0.000172275223254	   0.000004639433697
    0	    0	   33	   0.000023777515632	   0.000001093744452
    1	    0	   33	   0.000174150784075	   0.000004731481643
    0	    0	   34	   0.000023986215217	   0.000001108045321
    1	    0	   34	   0.000175411848138	   0.000004793346460
    0	    0	   35	   0.000025434176315	   0.000001106509920
    1	    0	   35	   0.000203081203105	   0.000004786704396
    0	    0	   36	   0.000025039180046	   0.000001081155643
    1	    0	   36	   0.000199139575313	   0.000004677023110
    0	    0	   37	   0.000024604839377	   0.000001052931887
    1	    0	   37	   0.000194515559427	   0.000004554928610
    0	    0	   38	   0.000024148176132	   0.000001010390100
