 TYPE	 PROD	ASSET	                  VE
    0	    0	    0	   0.000000000000000
    1	    0	    0	   0.000000000000000
    0	    0	    1	   0.000000078553672
    1	    0	    1	   0.000000212000426
    0	    0	    2	   0.000000383894605
    1	    0	    2	   0.000001439223227
    0	    0	    3	   0.000000592983196
    1	    0	    3	   0.000002395812802
    0	    0	    4	   0.000000436124652
    1	    0	    4	   0.000001663268050
    0	    0	    5	   0.000000590980119
    1	    0	    5	   0.000002334653854
    0	    0	    6	   0.000000673055574
    1	    0	    6	   0.000002636255236
    0	    0	    7	   0.000000532210108
    1	    0	    7	   0.000001858439374
    0	    0	    8	   0.000000585380577
    1	    0	    8	   0.000002030960574
    0	    0	    9	   0.000000716762462
    1	    0	    9	   0.000002405039297
    0	    0	   10	   0.000000799503766
    1	    0	   10	   0.000002696346584
    0	    0	   11	   0.000000647448851
    1	    0	   11	   0.000002016883037
    0	    0	   12	   0.000000666874966
    1	    0	   12	   0.000002028326504
    0	    0	   13	   0.000000828574438
    1	    0	   13	   0.000002349438300
    0	    0	   14	   0.000000847052001
    1	    0	   14	   0.000002362704148
    0	    0	   15	   0.000001422966251
    1	    0	   15	   0.000002544422742
    0	    0	   16	   0.000001549323221
    1	    0	   16	   0.000002369600949
    0	    0	   17	   0.000001885192816
    1	    0	   17	   0.000003117186527
    0	    0	   18	   0.000002536966579
    1	    0	   18	   0.000005119811969
    0	    0	   19	   0.000002644130398
    1	    0	   19	   0.000004887953057
    0	    0	   20	   0.000002590578606
    1	    0	   20	   0.000003842564603
    0	    0	   21	   0.000002668752561
    1	    0	   21	   0.000013150553295
    0	    0	   22	   0.000003832789995
    1	    0	   22	   0.000041518514350
    0	    0	   23	   0.000003939363714
    1	    0	   23	   0.000041912787569
    0	    0	   24	   0.000011123909627
    1	    0	   24	   0.000081227477981
    0	    0	   25	   0.000013305906556
    1	    0	   25	   0.000084649507910
    0	    0	   26	   0.000016575805032
    1	    0	   26	   0.000129939042377
    0	    0	   27	   0.000018822337287
    1	    0	   27	   0.000132266363174
    0	    0	   28	   0.000020530061785
    1	    0	   28	   0.000140122845217
    0	    0	   29	   0.000022405677849
    1	    0	   29	   0.000155280849160
    0	    0	   30	   0.000023429071089
    1	    0	   30	   0.000166689649817
    0	    0	   31	   0.000024497936643
    1	    0	   31	   0.000175239741619
    0	    0	   32	   0.000024395905940
    1	    0	   32	   0.000175805162900
    0	    0	   33	   0.000024760226420
    1	    0	   33	   0.000178112920914
    0	    0	   34	   0.000025023006752
    1	    0	   34	   0.000179734448603
    0	    0	   35	   0.000026471452130
    1	    0	   35	   0.000207486719652
    0	    0	   36	   0.000026045739380
    1	    0	   36	   0.000203246161095
    0	    0	   37	   0.000025578671238
    1	    0	   37	   0.000198480008165
    0	    0	   38	   0.000025075854115
    1	    0	   38	   0.000191814803190
    0	    0	   39	   0.000022916561735
    1	    0	   39	   0.000158163568228
    0	    0	   40	   0.000022420956424
    1	    0	   40	   0.000153083705955
    0	    0	   41	   0.000021795166582
    1	    0	   41	   0.000148394390399
    0	    0	   42	   0.000021483913995
    1	    0	   42	   0.000140857906685
    0	    0	   43	   0.000020489320855
    1	    0	   43	   0.000131046602428
    0	    0	   44	   0.000019356530413
