                   R	                   W	                   T	                   K	                   L	                   E	                   U
   0.062596094282829	   1.173091866791511	   0.011306767524860	   4.535904370356310	   0.842732180951385	   0.108965440248076	   0.053159327880998	
   0.062600539880086	   1.173067940685955	   0.011306767524860	   4.534342042333432	   0.842483400817454	   0.109184488083313	   0.053166359575152	
   0.062591968178358	   1.173114078172592	   0.011306767524860	   4.534213174987593	   0.842367427630295	   0.109285749959151	   0.053170699185620	
   0.062582779940707	   1.173163540201938	   0.011306767524860	   4.534301339011543	   0.842285160519980	   0.109356374232053	   0.053173539038586	
   0.062574938678961	   1.173205756353458	   0.011306767524860	   4.534389322550187	   0.842217320615859	   0.109415343171880	   0.053175327824639	
   0.062568434584307	   1.173240777049434	   0.011306767524860	   4.534450633180473	   0.842158881684372	   0.109467360383360	   0.053176224081238	
   0.062562937388979	   1.173270378782840	   0.011306767524860	   4.534492975638249	   0.842107729652933	   0.109514156567294	   0.053176431166215	
   0.062558129945737	   1.173296268226485	   0.011306767524860	   4.534527070596606	   0.842062450967275	   0.109556687157759	   0.053176169168943	
   0.062553770587743	   1.173319746153461	   0.011306767524860	   4.534560670240130	   0.842021890781444	   0.109595669891103	   0.053175612728687	
   0.062549695399421	   1.173341694958300	   0.011306767524860	   4.534598708529974	   0.841985205432512	   0.109631582118400	   0.053174884884044	
   0.062545797223452	   1.173362691552051	   0.011306767524860	   4.534643811994823	   0.841951732036777	   0.109664832754255	   0.053174069994565	
   0.062542007395536	   1.173383105639941	   0.011306767524860	   4.534697071803827	   0.841920935833755	   0.109695779300635	   0.053173223714912	
   0.062538281949502	   1.173403173966521	   0.011306767524860	   4.534758880289991	   0.841892417444098	   0.109724684980432	   0.053172378086002	
   0.062534596650481	   1.173423027033448	   0.011306767524860	   4.534828974413708	   0.841865867637897	   0.109751773153937	   0.053171551573935	
   0.062530935007193	   1.173442753652612	   0.011306767524860	   4.534906984206706	   0.841841040477778	   0.109777234671860	   0.053170757261116	
   0.062527287364282	   1.173462405825093	   0.011306767524860	   4.534992409445321	   0.841817739245957	   0.109801225145986	   0.053170004706205	
   0.062523648292613	   1.173482012792419	   0.011306767524860	   4.535084713988127	   0.841795805943900	   0.109823867728068	   0.053169300832938	
   0.062520015304588	   1.173501587952803	   0.011306767524860	   4.535183345177503	   0.841775111103640	   0.109845267845348	   0.053168651293839	
   0.062516386907304	   1.173521139347133	   0.011306767524860	   4.535287802085394	   0.841755545556189	   0.109865519543126	   0.053168059646461	
   0.062512763485551	   1.173540664899835	   0.011306767524860	   4.535397567829483	   0.841737017346356	   0.109884704830600	   0.053167527710835	
   0.062509146040346	   1.173560159213985	   0.011306767524860	   4.535512164088540	   0.841719448309808	   0.109902894161238	   0.053167056449321	
   0.062505541105443	   1.173579587076105	   0.011306767524860	   4.535631172607943	   0.841702830838433	   0.109920150167026	   0.053166502403261	
   0.062501934495189	   1.173599024926264	   0.011306767524860	   4.535754187721625	   0.841686937261321	   0.109936529449736	   0.053166275522609	
   0.062498343122536	   1.173618381614817	   0.011306767524860	   4.535880762007944	   0.841671866009058	   0.109952080307240	   0.053165999939880	
   0.062494765205098	   1.173637666737340	   0.011306767524860	   4.536010584239730	   0.841657540110561	   0.109966848755774	   0.053165762654478	
   0.062491202046248	   1.173656873258912	   0.011306767524860	   4.536143310887814	   0.841643909739691	   0.109980876366793	   0.053165578540294	
   0.062487655549416	   1.173675990907884	   0.011306767524860	   4.536278635476597	   0.841630938402169	   0.109994200283024	   0.053165445320514	
   0.062484128297731	   1.173695005747633	   0.011306767524860	   4.536416231651443	   0.841618593223690	   0.110006855038224	   0.053165360211618	
   0.062480621791659	   1.173713909674398	   0.011306767524860	   4.536555843319631	   0.841606842756844	   0.110018873060910	   0.053165320638465	
   0.062477138326508	   1.173732690298767	   0.011306767524860	   4.536697182794049	   0.841595658235610	   0.110030284746070	   0.053165324173451	
