 PROD	               ASSET	            valueWW0	            valueUS0	            valueUL0	            valueWW1	            valueUS1	            valueUL1
    0	   0.000000000000000	 -25.689935625305942	 -48.136136499856953	 -64.950541596266973	 -25.689935625305942	 -30.842767617972427	 -45.956383707133512
    0	   0.028895878633786	 -25.529970910261589	 -47.005793828609605	 -54.025772148741076	 -25.529970910261589	 -30.104669233007989	 -35.031614259607615
    0	   0.058626729069591	 -25.380725675587211	 -45.944443930218448	 -50.672402699606444	 -25.380725675587211	 -29.582098253451605	 -32.968353246225305
    0	   0.089216678551268	 -25.234929141670520	 -45.064830951559877	 -48.724656661759781	 -25.234929141670520	 -29.103782558959761	 -31.399481070023381
    0	   0.120690551500581	 -25.097591909665148	 -44.303796670630128	 -47.453648459011895	 -25.097451778675655	 -28.688417384856045	 -30.391715776739098
    0	   0.153073889662773	 -24.962245366209377	 -43.626459127365507	 -46.280805172383879	 -24.962010137113250	 -28.291239334067381	 -29.740078266601824
    0	   0.186392972834257	 -24.828430749803633	 -43.030787500458295	 -45.285745613462197	 -24.828125503617773	 -27.957106730197367	 -29.214292670837473
    0	   0.220674840189252	 -24.700147843770765	 -42.463296508691997	 -44.395625263590127	 -24.699787045640804	 -27.640511282412131	 -28.747937282265131
    0	   0.255947312222677	 -24.573109454329181	 -41.902631528414105	 -43.657640759877772	 -24.572704519984779	 -27.373805765852897	 -28.308789586261089
    0	   0.292239013327094	 -24.447436508699052	 -41.369822164888063	 -43.006024881680553	 -24.446990920951606	 -27.116399324767603	 -27.943335643980109
    0	   0.329579395022038	 -24.323155900099277	 -40.872425779983615	 -42.390397596115655	 -24.322682616997561	 -26.880608294145340	 -27.604855291300971
    0	   0.367998759854577	 -24.202140008901345	 -40.385662903686459	 -41.781629153925067	 -24.201646144578486	 -26.657740475547662	 -27.317313482845492
    0	   0.407528285990505	 -24.083113610443650	 -39.942827519298085	 -41.224881498572358	 -24.082610180622332	 -26.439517441772221	 -27.048434851500573
    0	   0.448200052516108	 -23.964721353233742	 -39.516786488951055	 -40.693147904631388	 -23.964214535918497	 -26.226689041305608	 -26.795621480840861
    0	   0.490047065471057	 -23.847129895775595	 -39.104916969266071	 -40.189285843449113	 -23.846622762285580	 -26.028422925995827	 -26.557922791605655
    0	   0.533103284633538	 -23.730538960408079	 -38.705864732139460	 -39.719148271789742	 -23.730031854046395	 -25.835451950436813	 -26.325682455802841
    0	   0.577403651079368	 -23.615693638725087	 -38.316291781656837	 -39.268656214247684	 -23.615188737209898	 -25.651031562211458	 -26.109789231364804
    0	   0.622984115537448	 -23.502074292556866	 -37.935271710016032	 -38.836065242166072	 -23.501576661982295	 -25.472857832613059	 -25.900766214994469
    0	   0.669881667564581	 -23.388833559913937	 -37.568440929398790	 -38.418533737355311	 -23.388345805573245	 -25.299944656502795	 -25.698719610552310
    0	   0.718134365563312	 -23.276293309647421	 -37.207583674581237	 -38.008593978353368	 -23.275812035987780	 -25.131931793788212	 -25.507770399272786
    0	   0.767781367667167	 -23.164249725925547	 -36.852890628159606	 -37.617806436665269	 -23.163775279817234	 -24.968058643653233	 -25.323613783145046
    0	   0.818862963518346	 -23.053011293682030	 -36.514203217806497	 -37.234510746529224	 -23.052542934176806	 -24.806565982309657	 -25.144925558767493
    0	   0.871420606963662	 -22.942562876412843	 -36.183247133408379	 -36.858779918883556	 -22.942100698429130	 -24.649167870974548	 -24.970888607739454
    0	   0.925496949695250	 -22.832647411551459	 -35.857933102270849	 -36.500131360235841	 -22.832191680522932	 -24.494604274923777	 -24.799850094540137
    0	   0.981135875863370	 -22.723008789082723	 -35.537909494935342	 -36.150398478442142	 -22.722558836676626	 -24.342147056645707	 -24.633847834312171
    0	   1.038382537689358	 -22.613728906348094	 -35.222161871427929	 -35.807623379230819	 -22.613284401427933	 -24.192200902416079	 -24.471107668471454
    0	   1.097283392107659	 -22.504724626823361	 -34.913184714057046	 -35.471303292206720	 -22.504285433221543	 -24.045269896247625	 -24.310900282955487
    0	   1.157886238466658	 -22.396125800683130	 -34.609639764156860	 -35.140046611022044	 -22.395692339544670	 -23.900336791961376	 -24.154273683621902
    0	   1.220240257318908	 -22.288015926895188	 -34.309977140794700	 -34.817915444311204	 -22.287587947335528	 -23.757218869059429	 -24.000669607137816
    0	   1.284396050332241	 -22.180191354062622	 -34.014946828996919	 -34.501033663047572	 -22.179768515675310	 -23.615795089939962	 -23.849397581814809
    0	   1.350405681354142	 -22.072472607824267	 -33.724975695119795	 -34.188559145439818	 -22.071997928640624	 -23.475716220390673	 -23.700273342880127
    0	   1.418322718662713	 -21.964930666615121	 -33.439131948228898	 -33.882632781293040	 -21.964024795957531	 -23.336309408767548	 -23.552968202812544
    0	   1.488202278438519	 -21.857556573608800	 -33.156831194041899	 -33.582086659010571	 -21.856009045217046	 -23.195368619957303	 -23.407621377301552
    0	   1.560101069492589	 -21.750396364844111	 -32.878195720268025	 -33.285804125629454	 -21.748006303577704	 -23.055285673462901	 -23.260246634719934
    0	   1.634077439286873	 -21.643482090549419	 -32.603326921849231	 -32.993768616017320	 -21.640052589257280	 -22.916452223221629	 -23.113663119078904
    0	   1.710191421284502	 -21.536678158575928	 -32.329118829840183	 -32.706328414484730	 -21.532046136522325	 -22.778726168511199	 -22.968666332765810
    0	   1.788504783668267	 -21.429818723488193	 -32.051565534732511	 -32.422938831204945	 -21.423862612921262	 -22.641971916261191	 -22.825112748919402
    0	   1.869081079466878	 -21.322723599864130	 -31.775889763986779	 -32.134617462943261	 -21.315363529669373	 -22.506135806018989	 -22.682821813921574
    0	   1.951985698129646	 -21.215445492188689	 -31.503242854436852	 -31.847857616821678	 -21.206629459543080	 -22.371189371939945	 -22.541729121905405
    0	   2.037285918591472	 -21.108139206155528	 -31.233340964621231	 -31.564764560556796	 -21.097831460319650	 -22.236626324424318	 -22.401756156643689
    0	   2.125050963871200	 -21.000801276160583	 -30.966136888159713	 -31.284922267790293	 -20.988976451283484	 -22.102043103285503	 -22.262674987829207
    0	   2.215352057247619	 -20.893361408782773	 -30.701571426141008	 -31.008214428446571	 -20.880003935890162	 -21.968151879434728	 -22.123457671523894
    0	   2.308262480058741	 -20.785737635926701	 -30.439218008037532	 -30.734641767005666	 -20.770843042264605	 -21.835020520956167	 -21.985045880733178
    0	   2.403857631171228	 -20.677841449857137	 -30.177836447113577	 -30.463747440361431	 -20.661432732916719	 -21.702526597030374	 -21.847581029309332
    0	   2.502215088168239	 -20.569717056980437	 -29.916680319960381	 -30.194351536665945	 -20.551839480689615	 -21.570636555842693	 -21.710918030628832
