 PROD	               ASSET	            valueWW0	            valueUS0	            valueUL0	            valueWW1	            valueUS1	            valueUL1
    0	   0.000000000000000	 -25.687114956417908	 -48.131259507373144	 -64.948387499382264	 -25.687114956417908	 -30.839632686320890	 -45.956089958494189
    0	   0.028895878633786	 -25.527230596952990	 -47.001381056471367	 -54.022288135249973	 -25.527230596952990	 -30.101958060661456	 -35.029990594361905
    0	   0.058626729069591	 -25.378074224944761	 -45.940483204593697	 -50.669483466688078	 -25.378074224944761	 -29.579610384879217	 -32.966607525104912
    0	   0.089216678551268	 -25.232345134327137	 -45.061116751350696	 -48.721456932902136	 -25.232345134327137	 -29.101407840188532	 -31.397844040996766
    0	   0.120690551500581	 -25.095094792842790	 -44.300392416875120	 -47.450758858797919	 -25.094954464321596	 -28.686177666717352	 -30.389975047227281
    0	   0.153073889662773	 -24.959814246905363	 -43.623227579177879	 -46.278309871677784	 -24.959577860018463	 -28.289108558733247	 -29.738281992291515
    0	   0.186392972834257	 -24.826058603740872	 -43.027805198512389	 -45.283325984378727	 -24.825751772583057	 -27.955058653864747	 -29.212591912374091
    0	   0.220674840189252	 -24.697858805106819	 -42.460515975280657	 -44.393131150230595	 -24.697496452613183	 -27.638523396773937	 -28.746270709088861
    0	   0.255947312222677	 -24.570882236222438	 -41.900038868868400	 -43.655281344012927	 -24.570474730971320	 -27.371873384564523	 -28.307149202970162
    0	   0.292239013327094	 -24.445264610257045	 -41.367366327992229	 -43.003884414303712	 -24.444815968473630	 -27.114508557771437	 -27.941756706208572
    0	   0.329579395022038	 -24.321036445230281	 -40.870145065272489	 -42.388405019762850	 -24.320559776326245	 -26.878798201864932	 -27.603236364372503
    0	   0.367998759854577	 -24.200098285415685	 -40.383451469053817	 -41.779814603582295	 -24.199600991889898	 -26.655990869571838	 -27.315738181699160
    0	   0.407528285990505	 -24.081125995423726	 -39.940773055152221	 -41.223113213696109	 -24.080620818739160	 -26.437832844272254	 -27.046845490752300
    0	   0.448200052516108	 -23.962786348458490	 -39.514786349006471	 -40.691483214125029	 -23.962277060276811	 -26.225043450643721	 -26.794083216925202
    0	   0.490047065471057	 -23.845244347271628	 -39.103016489947066	 -40.187627793579665	 -23.844733846747619	 -26.026840588072528	 -26.556455882635074
    0	   0.533103284633538	 -23.728699134583216	 -38.704088865150908	 -39.717577877652381	 -23.728188660614997	 -25.833906619345207	 -26.324272934836436
    0	   0.577403651079368	 -23.613923421857237	 -38.314656827507719	 -39.267112956403523	 -23.613415223958665	 -25.649511727671833	 -26.108397037879158
    0	   0.622984115537448	 -23.500361329501100	 -37.933734681182600	 -38.834628825589164	 -23.499860538775252	 -25.471384707909881	 -25.899406107978727
    0	   0.669881667564581	 -23.387173012402510	 -37.566961648846600	 -38.417233366497584	 -23.386682230309482	 -25.298508739390584	 -25.697357629710172
    0	   0.718134365563312	 -23.274679021406598	 -37.206195514348856	 -38.007409696485283	 -23.274194720179793	 -25.130552256307318	 -25.506468683745329
    0	   0.767781367667167	 -23.162680252340682	 -36.851544452125317	 -37.616663704603141	 -23.162202831272989	 -24.966731971397838	 -25.322343726836653
    0	   0.818862963518346	 -23.051490957753661	 -36.512981945994873	 -37.233452352390415	 -23.051019672547330	 -24.805286752555098	 -25.143704486853832
    0	   0.871420606963662	 -22.941095688794402	 -36.182099260753859	 -36.857747618831688	 -22.940630700419767	 -24.647921715088561	 -24.969710452488506
    0	   0.925496949695250	 -22.831231479296520	 -35.856874404262037	 -36.499205456923406	 -22.830773077625018	 -24.493401700986350	 -24.798717004298375
    0	   0.981135875863370	 -22.721640021105156	 -35.536936229653151	 -36.149539051304785	 -22.721187403654074	 -24.340984716863012	 -24.632741904054509
    0	   1.038382537689358	 -22.612405132703902	 -35.221274968679346	 -35.806850050576145	 -22.611957998429901	 -24.191068100098203	 -24.470043735918601
    0	   1.097283392107659	 -22.503444254774301	 -34.912351587756035	 -35.470608991676734	 -22.503002480352698	 -24.044178891852592	 -24.309871144367840
    0	   1.157886238466658	 -22.394891244754724	 -34.608872638866430	 -35.139430139372777	 -22.394455288856250	 -23.899283489267443	 -24.153273891625748
    0	   1.220240257318908	 -22.286831977147429	 -34.309276760401225	 -34.817345264191616	 -22.286401617245438	 -23.756208330870042	 -23.999707006904817
