 PROD	               ASSET	            valueWW0	            valueUS0	            valueUL0	            valueWW1	            valueUS1	            valueUL1
    0	   0.000000000000000	 -25.689935641092536	 -48.136136528146906	 -64.950541623686433	 -25.689935641092536	 -30.842767634301733	 -45.956383721639199
    0	   0.028895878633786	 -25.529970925876228	 -47.005793855639901	 -54.025772175691287	 -25.529970925876228	 -30.104669248647898	 -35.031614273644053
    0	   0.058626729069591	 -25.380725691005406	 -45.944443955784806	 -50.672402724572912	 -25.380725691005409	 -29.582098268683080	 -32.968353260334986
    0	   0.089216678551268	 -25.234929156939941	 -45.064830976416516	 -48.724656686815166	 -25.234929156939945	 -29.103782573919041	 -31.399481083781279
    0	   0.120690551500581	 -25.097591924669207	 -44.303796694688025	 -47.453648483092351	 -25.097451793675646	 -28.688417399434208	 -30.391715790546129
    0	   0.153073889662773	 -24.962245381046476	 -43.626459150840546	 -46.280805195117821	 -24.962010151949539	 -28.291239348355315	 -29.740078280441558
    0	   0.186392972834257	 -24.828430764494900	 -43.030787523228184	 -45.285745635759390	 -24.828125518309079	 -27.957106744242736	 -29.214292684388372
    0	   0.220674840189252	 -24.700147858188895	 -42.463296530821921	 -44.395625285824039	 -24.699787060058181	 -27.640511296280838	 -28.747937295691070
    0	   0.255947312222677	 -24.573109468568322	 -41.902631549936537	 -43.657640781677991	 -24.572704534223252	 -27.373805779583488	 -28.308789599584987
    0	   0.292239013327094	 -24.447436522780961	 -41.369822185943150	 -43.006024902723020	 -24.446990935033416	 -27.116399338393251	 -27.943335657063813
    0	   0.329579395022038	 -24.323155914029567	 -40.872425800424956	 -42.390397616600140	 -24.322682630928277	 -26.880608307525048	 -27.604855304440498
    0	   0.367998759854577	 -24.202140022546839	 -40.385662923862647	 -41.781629173810167	 -24.201646158224399	 -26.657740488718396	 -27.317313495836032
    0	   0.407528285990505	 -24.083113623917395	 -39.942827538957133	 -41.224881518125777	 -24.082610194096322	 -26.439517454733746	 -27.048434864483649
    0	   0.448200052516108	 -23.964721366544634	 -39.516786508398006	 -40.693147923776458	 -23.964214549229808	 -26.226689054143350	 -26.795621493660523
    0	   0.490047065471057	 -23.847129908933884	 -39.104916988364124	 -40.189285862431362	 -23.846622775444299	 -26.028422938607651	 -26.557922804150071
    0	   0.533103284633538	 -23.730538973422309	 -38.705864750781764	 -39.719148290405634	 -23.730031867061104	 -25.835451962928659	 -26.325682468192493
    0	   0.577403651079368	 -23.615693651482172	 -38.316291799802883	 -39.268656232696053	 -23.615188749967448	 -25.651031574596448	 -26.109789243629820
    0	   0.622984115537448	 -23.502074305119962	 -37.935271727820250	 -38.836065260213815	 -23.501576674545859	 -25.472857844819458	 -25.900766227127203
    0	   0.669881667564581	 -23.388833572294349	 -37.568440946921406	 -38.418533754860889	 -23.388345817954232	 -25.299944668577538	 -25.698719622652369
    0	   0.718134365563312	 -23.276293321868003	 -37.207583691755083	 -38.008593995481533	 -23.275812048208916	 -25.131931805674679	 -25.507770411141525
    0	   0.767781367667167	 -23.164249737993725	 -36.852890645193263	 -37.617806453533248	 -23.163775291885941	 -24.968058655340002	 -25.323613794881574
    0	   0.818862963518346	 -23.053011305567491	 -36.514203234319872	 -37.234510763047858	 -23.052542946062815	 -24.806565993838152	 -25.144925570329345
    0	   0.871420606963662	 -22.942562888095118	 -36.183247149620946	 -36.858779935239916	 -22.942100710111902	 -24.649167882355044	 -24.970888619125486
    0	   0.925496949695250	 -22.832647423042580	 -35.857933118171339	 -36.500131376132707	 -22.832191692014487	 -24.494604286125377	 -24.799850105767504
    0	   0.981135875863370	 -22.723008800399814	 -35.537909510457055	 -36.150398494046335	 -22.722558847994108	 -24.342147067690320	 -24.633847845393586
    0	   1.038382537689358	 -22.613728917501756	 -35.222161886614010	 -35.807623394524633	 -22.613284412581976	 -24.192200913333732	 -24.471107679373478
    0	   1.097283392107659	 -22.504724637816679	 -34.913184728992576	 -35.471303307106908	 -22.504285444215242	 -24.045269906994253	 -24.310900293711814
    0	   1.157886238466658	 -22.396125811499530	 -34.609639778803000	 -35.140046625612150	 -22.395692350361330	 -23.900336802557128	 -24.154273694238160
    0	   1.220240257318908	 -22.288015937515656	 -34.309977155164269	 -34.817915458663656	 -22.287587957956219	 -23.757218879486683	 -24.000669617594262
    0	   1.284396050332241	 -22.180191364491623	 -34.014946843141473	 -34.501033677091229	 -22.179768526104521	 -23.615795100174761	 -23.849397592110819
    0	   1.350405681354142	 -22.072472618071963	 -33.724975709032108	 -34.188559159247554	 -22.071997938883008	 -23.475716230457138	 -23.700273352993559
    0	   1.418322718662713	 -21.964930676687736	 -33.439131961881259	 -33.882632794884465	 -21.964024806021062	 -23.336309418555434	 -23.552968212739707
    0	   1.488202278438519	 -21.857556583504707	 -33.156831207411223	 -33.582086672362834	 -21.856009055096969	 -23.195368629559763	 -23.407621387064403
    0	   1.560101069492589	 -21.750396374555731	 -32.878195733335652	 -33.285804138709253	 -21.748006313265055	 -23.055285682885803	 -23.260246644193224
    0	   1.634077439286873	 -21.643482100061014	 -32.603326934607686	 -32.993768628807118	 -21.640052598736972	 -22.916452232458308	 -23.113663128369776
    0	   1.710191421284502	 -21.536678167893193	 -32.329118842159531	 -32.706328426948154	 -21.532046145799633	 -22.778726177553047	 -22.968666341887122
    0	   1.788504783668267	 -21.429818732616592	 -32.051565546592876	 -32.422938843429868	 -21.423862622003448	 -22.641971925109978	 -22.825112757858328
    0	   1.869081079466878	 -21.322723608808616	 -31.775889775615983	 -32.134617474579805	 -21.315363538559492	 -22.506135814673513	 -22.682821822677631
    0	   1.951985698129646	 -21.215445500940834	 -31.503242865818077	 -31.847857628218858	 -21.206629468232848	 -22.371189380410303	 -22.541729130473950
    0	   2.037285918591472	 -21.108139214709396	 -31.233340975702504	 -31.564764571730993	 -21.097831468803005	 -22.236626332665033	 -22.401756165019837
    0	   2.125050963871200	 -21.000801284507393	 -30.966136898959945	 -31.284922278659042	 -20.988976459551665	 -22.102043111304980	 -22.262674995984746
    0	   2.215352057247619	 -20.893361416925448	 -30.701571436672904	 -31.008214439026837	 -20.880003943947482	 -21.968151887266178	 -22.123457679445870
